"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"MARAN HERMES",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-01-26 22:47:00","22h 2m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,241486000,9761346,15.6,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",SUEZMAX,"MARAN TANKERS MANAGEMENT",mail@marantankers.gr,,GREECE,,,,,,,,,"MARAN TANKERS MANAGEMENT",mail@marantankers.gr,,GREECE,"NORTH OF ENGLAND P & I ASSOCIATION",,"NEWCASTLE UPON TYNE",U.K.,"DAEWOO MANGALIA HEAVY INDUSTRIES",dmhi@dmhi.ct.ro,MANGALIA,ROMANIA,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,,,,,156458,,,-
BREIVIKEN,DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-01-26 22:06:00","1d 12h 7m",PRIMORSK,RU,RUPRI,,,,-,,,-,,Laden,"Not in Transit",,257031550,9817470,14.4,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"TOTAL GROUP CIE FRANCAISE DES PETROLES",,,FRANCE,"VIKEN SHIPPING AS",bjn@walco.no,,NORWAY,,,,,"WALLEM SHIPMANAGEMENT LTD WSM",wsmhk@wallem.com,,"HONG KONG (CHINA)",,,,,"SAMSUNG SHIPBUILDING  HEAVY INDUSTRIES",isnam@samsung.co.kr,GEOJE,"SOUTH KOREA","BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,HYUNDAI,,,"SOUTH KOREA",112504,,,-
"NIKOLAY GAMAYUNOV",DEPARTURE,Port,TUAPSE,RU,RUTUA,"2022-01-26 21:56:00",46m,"TUAPSE ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273381530,9766073,6.4,,NONE,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"BALTMARINE LTD ",andrnik@yandex.ru,,RUSSIA,"BALTMARINE LTD ",andrnik@yandex.ru,,RUSSIA,,,,,,,,,"THE SHIP OWNERS MUTUAL P & I ASSOCIATION",info@shipownersclub.com,LONDON,U.K.,"SHEN FEI SHIPBUILDING",,RONGCHENG,CHINA,"BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,HYUNDAI,,,"SOUTH KOREA",6183,,,-
"MIDVOLGA 3",DEPARTURE,Port,TAGANROG,RU,RUTAG,"2022-01-26 18:46:00","4d 8h 16m","KAVKAZ ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273374820,9735141,4.2,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"MIDDLE VOLGA SHIPPING CO",,,RUSSIA,"MIDDLE VOLGA SHIPPING CO",,,RUSSIA,,,,,"MIDDLE VOLGA SHIPPING CO",,,RUSSIA,,,,,"HAICHUAN SHIPYARD",,YANGZHOU,CHINA,"REGISTRO ITALIANO NAVALE",info@rina.org,GENOVA,ITALY,"WARTSILA FINLAND",,HELSINKI,FINLAND,6573,,,-
ALMATY,DEPARTURE,"Offshore Terminal","YURI KORCHAGIN",RU,,"2022-01-26 17:46:00","15h 59m","BAKU ANCH",AZ,,,,,-,,,-,,Laden,"Not in Transit",,436000032,9323106,6.5,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"KAZMORTRANSFLOT KMTF",info@kmtf.kz,,KAZAKHSTAN,"KAZMORTRANSFLOT KMTF",info@kmtf.kz,,KAZAKHSTAN,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,"VYBORG SHIPYARD",mail@vyborgshipyard.ru,VYBORG,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,BMZ,,BRYANSK,RUSSIA,12368,,,-
ELEKTRA,DEPARTURE,Port,YEYSK,RU,RUYEY,"2022-01-26 15:42:00","1d 37m","KAVKAZ SOUTH ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273315050,9376608,3.8,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"PIETRO BARBARO GROUP",,,ITALY,"PIETRO BARBARO GROUP",,,ITALY,,,,,,,,,"UK P & I CLUB",,LONDON,U.K.,"KRASNOYE SORMOVO SHIPYARD",krsormovo@mnpglobal.com,"NIZHNIY NOVGOROD",RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"WARTSILA FINLAND",,HELSINKI,FINLAND,5600,,,-
KALBAJAR,DEPARTURE,Port,YEYSK,RU,RUYEY,"2022-01-26 15:21:00","2d 1h 36m","BOSPHORUS N ANCH",TR,,,,,-,,,-,,Laden,"Not in Transit",,423501100,9821471,4.3,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"AZERBAIJAN STATE CASPIAN SHIPPING CO ASCSS",,,AZERBAIJAN,"AZERBAIJAN STATE CASPIAN SHIPPING CO ASCSS",,,AZERBAIJAN,,,,,"AZERBAIJAN STATE CASPIAN SHIPPING CO ASCSS",,,AZERBAIJAN,,,,,,,,,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,,,,,7786,,,-
"VF TANKER 21",DEPARTURE,Port,TEMRYUK,RU,RUTMR,"2022-01-26 15:13:00","6d 8h 22m","TEMRYUK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273359390,9645102,4.2,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"VF TANKER LTD",sea@vftanker.ru,,RUSSIA,"VF TANKER LTD",sea@vftanker.ru,,RUSSIA,,,,,,,,,"THE SHIP OWNERS MUTUAL P & I ASSOCIATION",info@shipownersclub.com,LONDON,U.K.,"OKA SHIPYARD",oka@sandy.ru,NAVASHINO,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"WARTSILA FINLAND",,HELSINKI,FINLAND,7029,,,-
"YASA GOLDEN DARDANELLES",DEPARTURE,Port,KOZMINO,RU,RUKOZ,"2022-01-26 14:28:00","1d 14h 1m","TIANJIN ANCH",CN,,,,,-,,,-,,Laden,"Not in Transit",,538002845,9339985,14.2,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"YASA SHIPPING INDUSTRY & TRADING SA",yasa.ship@yasahold.com.tr,,TURKEY,"YASA SHIPPING INDUSTRY & TRADING SA",yasa.ship@yasahold.com.tr,,TURKEY,,,,,"YASA TANKER ISLETMECILIGI AS",,,TURKEY,"UK P & I CLUB",,LONDON,U.K.,"MITSUI ICHIHARA ENGINEERING & SHIPBUILDING",prdept@mes.co.jp,ICHIHARA,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,MITSUI,,,JAPAN,110828,,,-
"VERNADSKY PROSPECT",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-01-26 12:36:00","1d 20h 51m","SKAGEN ANCH",DK,,,,,-,,,-,,Laden,"Not in Transit",,636019054,9843560,14.5,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,SOVCOMFLOT,,,RUSSIA,SOVCOMFLOT,,,RUSSIA,,,,,"SCF MANAGEMENT SERVICES DUBAI LTD",,,"UNITED ARAB EMIRATES",,,,,,,,,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,,,,,113310,,,-
"ZALIV NAKHODKA",DEPARTURE,Port,VLADIVOSTOK,RU,RUVVO,"2022-01-26 12:26:00","2d 3h 4m","VLADIVOSTOK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273326750,8906951,7.7,,NONE,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"NAYADA CO LTD",nayada@online.nakhodka.ru,,RUSSIA,"NAYADA CO LTD",nayada@online.nakhodka.ru,,RUSSIA,,,,,,,,,"THE SWEDISH CLUB",swedish.club@swedishclub.com,GOTHENBURG,SWEDEN,"VARD SOEVIKNES",soviknes@vard.com,SOVIK,NORWAY,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"MAK MASCHINENBAU",,,GERMANY,8490,,,-
