"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"MAERSK CUMULUS",DEPARTURE,Port,"ST PETERSBURG",RU,RULED,"2022-01-12 21:55:00","1d 15h 36m","ST PETERSBURG ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,219337000,9724532,10.1,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,BP,,,U.K.,BP,,,U.K.,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"BP SHIPPING LIMITED",,,U.K.,"ASSURANCEFORENINGEN SKULD NORWAY",osl@skuld.com,OSLO,NORWAY,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,,,,,39999,,,-
"STI DONALD C TRAUSCHT",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-01-12 21:35:00","1d 9h 33m","ANTWERP ANCH",BE,,,,,-,,,-,,Laden,"Not in Transit",,538007042,9794422,10.9,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYMAX/MR,TRAFIGURA,,,NETHERLANDS,"SPDBFL NO ONE ONE THREE",,MONACO,MONACO,,,,,"SCORPIO MARINE MANAGEMENT",,,INDIA,"STEAMSHIP MUTUAL P & I",duty.team@simsl.com,HAMILTON,BERMUDA,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,HYUNDAI,,,"SOUTH KOREA",49990,,,-
"NAVE EQUINOX",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-01-12 20:59:00","1d 13h 32m","VYSOTSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,538005166,9351634,12.2,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYMAX/MR,"PIETRO BARBARO GROUP",,,ITALY,"NAVIOS MARITIME HOLDINGS INC",,,GREECE,"AVIC CAPITAL CO LTD",,,CHINA,"SYNERGY MARITIME PVT LTD",mail@synergyship.com,,INDIA,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"STX OFFSHORE & SHIPBUILDING JINHAE SHIPYARD",sales@onestx.com,JINHAE,"SOUTH KOREA","BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,"STX HEAVY INDUSTRIES",,CHANGWON,"SOUTH KOREA",50922,,,-
ASTANA,DEPARTURE,"Offshore Terminal","YURI KORCHAGIN",RU,,"2022-01-12 20:51:00","17h 43m","BAKU ANCH",AZ,,,,,-,,,-,,Laden,"Not in Transit",,436000393,9323091,6.5,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"KAZMORTRANSFLOT KMTF",info@kmtf.kz,,KAZAKHSTAN,"KAZMORTRANSFLOT KMTF",info@kmtf.kz,,KAZAKHSTAN,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,"VYBORG SHIPYARD",mail@vyborgshipyard.ru,VYBORG,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,BMZ,,BRYANSK,RUSSIA,12368,,,-
SOUSTA,DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-01-12 17:40:00","1d 4h 56m","CONSTANTA ANCH",RO,,,,,-,,,-,,Laden,"Not in Transit",,566916000,9384992,12.3,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"SPRING MARINE SERVICES CO",,,GREECE,"SPRING MARINE SERVICES CO",,,GREECE,,,,,"SPRING MARINE MANAGEMENT SA",management@springmarine.com,,"MARSHALL ISLANDS","JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"TSUNEISHI TADOTSU FACTORY",info@ts.tsuneishi.co.jp,TADOTSU,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"MITSUI TAMANO ENGINEERING & SHIPBUILDING",,TAMANO,JAPAN,106045,,,-
"CHEMTRANS ADRIATIC",DEPARTURE,Port,TUAPSE,RU,RUTUA,"2022-01-12 16:48:00","1d 20h 44m","DARDANELES WAIT AREA",TR,,,,,-,,,-,,Laden,"Not in Transit",,209660000,9298284,13.0,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",PANAMAX/LR1,"STRAITS TANKERS LR1",,SINGAPORE,SINGAPORE,"SCHULTE GROUP",,,GERMANY,,,,,"REEDEREI THOMAS SCHULTE GMBH",,,GERMANY,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"NEW CENTURY SHIPBUILDING",jsjdb@mx.js.cei.gov.cn,JINGJIANG,CHINA,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,HYUNDAI,,,"SOUTH KOREA",73964,,,-
"SANAR 4",DEPARTURE,Port,AZOV,RU,RUAZO,"2022-01-12 16:30:00",55m,,,,,,,-,,,-,,Laden,"In Transit",,273359760,9476771,3.9,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"YUG RUSI  GOLDEN GRAIN CO LTD",,,RUSSIA,"YUG RUSI  GOLDEN GRAIN CO LTD",,,RUSSIA,,,,,,,,,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"OKA SHIPYARD",oka@sandy.ru,NAVASHINO,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"CUMMINS UK",,,U.K.,6670,,,-
"MEKHANIK PANTELEEV",DEPARTURE,Port,AZOV,RU,RUAZO,"2022-01-12 16:19:00","1h 20m",,,,,,,-,,,-,,"Partially Laden","In Transit",,273353720,9598385,3.1,,NONE,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"VF TANKER LTD",sea@vftanker.ru,,RUSSIA,"VF TANKER LTD",sea@vftanker.ru,,RUSSIA,,,,,,,,,"THE SHIP OWNERS MUTUAL P & I ASSOCIATION",info@shipownersclub.com,LONDON,U.K.,"KRASNOYE SORMOVO SHIPYARD",krsormovo@mnpglobal.com,"NIZHNIY NOVGOROD",RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"WARTSILA FINLAND",,HELSINKI,FINLAND,5519,,,-
"DELTA SAILOR",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-01-12 16:13:00","1d 18h 21m","UST-LUGA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,636020062,9288722,14.1,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,,,,,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,"THE WEST OF ENGLAND SHIPOWNERS",mail@westpandi.com,LONDON,U.K.,"HYUNDAI SAMHO HEAVY INDUSTRIES",hseun@hsi.co.kr,SAMHO,"SOUTH KOREA","CHINA CLASSIFICATION SOCIETY",ccs@ccs.org.cn,BEIJING,CHINA,HYUNDAI,,,"SOUTH KOREA",111004,,,-
"FRONT SAVANNAH",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-01-12 15:57:00","20h 11m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,477591400,9831828,15.5,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",SUEZMAX,"COLUMBIA SHIPMANAGEMENT LTD",,,CYPRUS,"HAI KUO SHIPPING 1971T LTD",,LIMASSOL,CYPRUS,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"COLUMBIA SHIPMANAGEMENT DEUTSCHLAND",csm@csmd.com,,GERMANY,"STEAMSHIP MUTUAL P & I",duty.team@simsl.com,HAMILTON,BERMUDA,"HYUNDAI HEAVY INDUSTRIES CO LTD",choyc@hhi.co.kr,ULSAN,"SOUTH KOREA","AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,,,,,149999,,,-
