"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
WAIKIKI,DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-03-15 19:33:00","1d 8h 19m","UST-LUGA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,249857000,9776755,14.6,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"CARDIFF MARINE INC",technical@cardiff.gr,,GREECE,"TMS TANKERS LTD",qa@tmstankers.com,,GREECE,,,,,"TMS TANKERS LTD",qa@tmstankers.com,,GREECE,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"SAMSUNG SHIPBUILDING  HEAVY INDUSTRIES",isnam@samsung.co.kr,GEOJE,"SOUTH KOREA","AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,HYUNDAI,,,"SOUTH KOREA",112829,,,-
SEACOD,DEPARTURE,Port,PRIMORSK,RU,RUPRI,"2022-03-15 17:15:00","1d 6h 36m",,,,,,,-,,,-,,Laden,"Not in Transit",,218019000,9352315,11.1,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYMAX/MR,"GERMAN TANKER SHIPPING GMBH & CO KG",info@germantanker.de,,GERMANY,"GERMAN TANKER SHIPPING GMBH & CO KG",info@germantanker.de,,GERMANY,,,,,"GERMAN TANKER SHIPPING GMBH & CO KG",info@germantanker.de,,GERMANY,"ASSURANCEFORENINGEN SKULD NORWAY",osl@skuld.com,OSLO,NORWAY,"LINDENAU SHIPYARD",info@lindenau-shipyard.de,KIEL,GERMANY,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"MAN DIESEL  TURBO",,,GERMANY,40558,,,-
"SARASOTA A",DEPARTURE,Port,KOZMINO,RU,RUKOZ,"2022-03-15 08:41:00","1d 8h 29m","NAKHODKA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,249593000,9383869,14.8,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"CARDIFF MARINE INC",technical@cardiff.gr,,GREECE,"TMS TANKERS LTD",qa@tmstankers.com,,GREECE,,,,,"TMS TANKERS LTD",qa@tmstankers.com,,GREECE,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"WAIGAOQIAO SHIPBUILDING",biz@chinasws.com,SHANGHAI,CHINA,"AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,"HUDONG HEAVY MACHINERY",web@ahhudong.com,ANHUI,CHINA,106850,,,-
ATLANTICOS,DEPARTURE,Port,VLADIVOSTOK,RU,RUVVO,"2022-03-15 04:59:00",28m,ZHAPU,CN,CNZAP,,,,-,,,-,,"Partially Laden","In Transit",,538008813,9282986,9.4,,NONE,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,,,,,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,"AMERICAN STEAMSHIP OWNER P & I ASSOCIATION",info@american-club.com,"NEW YORK NY",U.S.A.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"HYUNDAI HEAVY INDUSTRIES CO LTD",choyc@hhi.co.kr,ULSAN,"SOUTH KOREA",37106,,,-
ATLANTICOS,DEPARTURE,Port,VLADIVOSTOK,RU,RUVVO,"2022-03-15 04:06:00","3d 59m","SLAVYANKA ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,538008813,9282986,9.1,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,,,,,"SALMAR SHIPPING",ops@salmar.gr,,GREECE,"AMERICAN STEAMSHIP OWNER P & I ASSOCIATION",info@american-club.com,"NEW YORK NY",U.S.A.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"HYUNDAI HEAVY INDUSTRIES CO LTD",choyc@hhi.co.kr,ULSAN,"SOUTH KOREA",37106,,,-
"SEA HELIOS",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-03-15 03:32:00","1d 18h 35m","UST-LUGA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,229315000,9279719,10.8,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYMAX/MR,"DLP MARITIME SA",,,GREECE,"SEA WORLD MANAGEMENT & TRADING INC ",hse@seaworldmt.gr,,GREECE,,,,,"SEA WORLD MANAGEMENT & TRADING INC ",hse@seaworldmt.gr,,GREECE,"THE LONDON P & I CLUB",london@londonpandi.com,LONDON,U.K.,"SHIN KURUSHIMA ONISHI SHIPYARD",webmaster@skdy.co.jp,IMABARI,JAPAN,"AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,MITSUI,,,JAPAN,45948,,,-
DELPHI,DEPARTURE,Port,TUAPSE,RU,RUTUA,"2022-03-15 01:18:00","7h 51m",TUAPSE,RU,RUTUA,,,,-,,,-,,Laden,"Not in Transit",,636014336,9283796,10.3,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"TSAKOS ENERGY NAVIGATION LTD TEN",ten@tenn.gr,ATHENS,GREECE,"TSAKOS ENERGY NAVIGATION LTD TEN",ten@tenn.gr,ATHENS,GREECE,,,,,"TSAKOS COLUMBIA SHIPMANAGEMENT",shipmgrs@tcsm.gr,,GREECE,"THE LONDON P & I CLUB",london@londonpandi.com,LONDON,U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,HYUNDAI,,,"SOUTH KOREA",37432,,,-
"ADVANTAGE ANGEL",DEPARTURE,Port,PRIMORSK,RU,RUPRI,"2022-03-14 23:39:00","1d 10h 20m",ROTTERDAM,NL,NLRTM,,,,-,,,-,,Laden,"Not in Transit",,538009821,9779953,14.4,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,TRAFIGURA,,,NETHERLANDS,"ADVANTAGE TANKERS LLC",,,SWITZERLAND,,,,,"GENEL DENIZCILIK NAKLIYATI AS GEDEN LINES",,,TURKEY,,,,,"DAEHAN SHIPBUILDING",marketing@daehanship.com,HWAWONMYUN,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,,,,,113563,,,-
"STI HAMMERSMITH",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-03-14 23:22:00","1d 1h 6m","UST-LUGA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,538005410,9706463,11.3,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"SCORPIO TANKERS INC",,,MONACO,"SCORPIO TANKERS INC",,,MONACO,"LEASEBACK UNAMMED",,,U.K.,"SCORPIO SHIP MANAGEMENT SAM",,,MONACO,"STEAMSHIP MUTUAL P & I",duty.team@simsl.com,HAMILTON,BERMUDA,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,HYUNDAI,,,"SOUTH KOREA",38734,,,-
LUGANO,DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-03-14 23:20:00","1d 23h 51m",ROTTERDAM,NL,NLRTM,,,,-,,,-,,Laden,"Not in Transit",,636093012,9352195,10.4,,LOAD,,,,,,Tanker,"Oil/Chemical Tanker","WET BULK",HANDYSIZE,"NSB NIEDERELBE SCHIFFAHRTSGESELLSCHAFT MBH",info@reedereinsb.com,BUXTEHUDE,GERMANY,"NSB NIEDERELBE SCHIFFAHRTSGESELLSCHAFT MBH",info@reedereinsb.com,BUXTEHUDE,GERMANY,,,,,"NSB NIEDERELBE SCHIFFAHRTSGESELLSCHAFT MBH",info@reedereinsb.com,BUXTEHUDE,GERMANY,"NORTH OF ENGLAND P & I ASSOCIATION",,"NEWCASTLE UPON TYNE",U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"BW DIESEL",,COPENHAGEN,DENMARK,37159,,,-
