"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
ARCHELAOS,DEPARTURE,Port,PRIMORSK,RU,RUPRI,"2022-02-24 23:55:00","1d 23h 59m","LE HAVRE ANCH",FR,,,,,-,,,-,,Laden,"Not in Transit",,636020838,9800568,14.0,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"CURZON MARITIME",,,U.K.,"CAPITAL PRODUCT PARTNERS LP CPP",,,GREECE,"CAPITAL SHIP MANAGEMENT CORP",,,GREECE,"ELETSON CORP",,,GREECE,,,,,,,,,"AMERICAN BUREAU OF SHIPPING",abs-worldhq@eagle.org,"HOUSTON TX",U.S.A.,,,,,109896,,,-
BAVLY,DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-02-24 21:15:00","1d 5h 30m","BATUMI ANCH",GE,,,,,-,,,-,,Laden,"Not in Transit",,273358180,9621560,4.2,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"NAFTA INVEST",,,LATVIA,"NAFTA INVEST",,,LATVIA,,,,,,,,,,,,,"ZELENODOLSK GORKIY PLANT",zdship@nimb.ru,ZELENODOLSK,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"WARTSILA FINLAND",,HELSINKI,FINLAND,6614,,,-
"CE HAMILTON",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-02-24 20:25:00","1d 8h 41m","KORFEZ ANCH",TR,,,,,-,,,-,,Laden,"Not in Transit",,538008329,9411238,15.9,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",SUEZMAX,"CENTROFIN MANAGEMENT INC",centrofin@centrofin.gr,,GREECE,"MARINE TRUST LTD",,,GREECE,,,,,"MARINE TRUST LTD",,,GREECE,"NORTH OF ENGLAND P & I ASSOCIATION",,"NEWCASTLE UPON TYNE",U.K.,"HYUNDAI SAMHO MOKPO SHIPYARD",,MOKPO,"SOUTH KOREA","DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,HYUNDAI,,,"SOUTH KOREA",158099,,,-
"ALEKSANDR SHEMAGIN",DEPARTURE,Port,TEMRYUK,RU,RUTMR,"2022-02-24 19:34:00","2d 18h 14m","TEMRYUK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,273352260,9612909,4.2,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"MOSCOW RIVER SHIPPING CO",reception@mosrp.ru,,RUSSIA,"GAZTECH LEASING",,,RUSSIA,,,,,,,,,"THE SHIP OWNERS MUTUAL P & I ASSOCIATION",info@shipownersclub.com,LONDON,U.K.,"NOBEL SHIPYARD",market.nobel@mail.ru,RYBINSK,RUSSIA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"MAN DIESEL  TURBO",,,GERMANY,6613,,,-
"DELTA PIONEER",DEPARTURE,Port,PRIMORSK,RU,RUPRI,"2022-02-24 19:11:00","1d 8h 16m","SKAGEN ANCH",DK,,,,,-,,,-,,Laden,"Not in Transit",,240244000,9288693,14.0,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",AFRAMAX/LR2,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,,,,,"DELTA TANKERS LTD",operation@deltatankers.gr,,GREECE,"THE WEST OF ENGLAND SHIPOWNERS",mail@westpandi.com,LONDON,U.K.,"HYUNDAI SAMHO HEAVY INDUSTRIES",hseun@hsi.co.kr,SAMHO,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"BW DIESEL",,COPENHAGEN,DENMARK,111013,,,-
EKFJORD,DEPARTURE,Port,"ST PETERSBURG",RU,RULED,"2022-02-24 18:45:00","1d 21h 48m",PORVOO,FI,FIPRV,,,,-,,,-,,Laden,"Not in Transit",,257555000,9356622,9.0,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",HANDYSIZE,"NESTE CORP",,,FINLAND,"EKTANK AB",mail@ektank.se,,SWEDEN,,,,,"OSM SHIP MANAGEMENT AS",,,NORWAY,"ASSURANCEFORENINGEN SKULD NORWAY",osl@skuld.com,OSLO,NORWAY,"CELIK TEKNE SHIPYARD",info@celiktekne.com.tr,ISTANBUL,TURKEY,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"MAN ENERGY SOLUTIONS",,AUGSBURG,GERMANY,17006,,,-
"NORDIC BREEZE",DEPARTURE,Port,NOVOROSSIYSK,RU,RUNVS,"2022-02-24 17:41:00","20h 6m","NOVOROSSIYSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,636014868,9588445,15.7,,LOAD,,,,,,Tanker,"Crude Oil Tanker","WET BULK",SUEZMAX,"CHEVRON CORP",,,U.S.A.,"NORDIC AMERICAN TANKER SHIPPING LTD NATS",info@nat.bm,,NORWAY,,,,,"V SHIPS OSLO",,,NORWAY,"ASSURANCEFORENINGEN GARD NORWAY",companymail@gard.no,ARENDAL,NORWAY,"SAMSUNG SHIPBUILDING  HEAVY INDUSTRIES",isnam@samsung.co.kr,GEOJE,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"BW DIESEL",,COPENHAGEN,DENMARK,158597,,,-
"PS TRIESTE",DEPARTURE,Port,KOZMINO,RU,RUKOZ,"2022-02-24 16:51:00","1d 9h 55m","PORT DICKSON ANCH",MY,,,,,-,,,-,,Laden,"Not in Transit",,247312700,9473054,14.3,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",AFRAMAX/LR2,"PREMUDA SOCIETA DI NAVIGAZIONE PER AZIONI",technical.dptge@premuda.net,,ITALY,"PREMUDA SOCIETA DI NAVIGAZIONE PER AZIONI",technical.dptge@premuda.net,,ITALY,,,,,"PREMUDA SOCIETA DI NAVIGAZIONE PER AZIONI",technical.dptge@premuda.net,,ITALY,"STEAMSHIP MUTUAL P & I",duty.team@simsl.com,HAMILTON,BERMUDA,"TSUNEISHI TADOTSU FACTORY",info@ts.tsuneishi.co.jp,TADOTSU,JAPAN,"REGISTRO ITALIANO NAVALE",info@rina.org,GENOVA,ITALY,"MITSUI TAMANO ENGINEERING & SHIPBUILDING",,TAMANO,JAPAN,107546,,,-
"BLUE TRADER",DEPARTURE,Port,TUAPSE,RU,RUTUA,"2022-02-24 16:12:00","1d 15h 50m","BOSPHORUS N ANCH",TR,,,,,-,,,-,,Laden,"Not in Transit",,255806336,9290830,10.2,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"COMPANIA ESPANOLA DE PETREOLES SA",,,SPAIN,"INTERNATIONAL ANDROMEDA SHIPPING SAM",alltechnical@andromedashipping.com,,MONACO,,,,,"INTERNATIONAL ANDROMEDA SHIPPING SAM",alltechnical@andromedashipping.com,,MONACO,"THE LONDON P & I CLUB",london@londonpandi.com,LONDON,U.K.,"HYUNDAI MIPO DOCKYARD",sales@hmd.co.kr,ULSAN,"SOUTH KOREA","LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,HYUNDAI,,,"SOUTH KOREA",37270,,,-
"GAZPROMNEFT ZUID EAST",DEPARTURE,Port,UST-LUGA,RU,RUULU,"2022-02-24 15:45:00","1d 2h 29m","ST PETERSBURG ANCH",RU,,,,,-,,,-,,"Partially Laden","Not in Transit",,273353580,9537109,6.3,,LOAD,,,,,,Tanker,"Oil Products Tanker","WET BULK",HANDYSIZE,"GAZPROMNEFT MARINE BUNKER LTD",Tkachenko.VI@spb.gazprom-neft.ru,,RUSSIA,"GAZPROMNEFT MARINE BUNKER LTD",Tkachenko.VI@spb.gazprom-neft.ru,,RUSSIA,,,,,,,,,"STANDARD P & I CLUB",,LONDON,U.K.,"XIXIAKOU SHIPBUILDING",ddship@xixiakou.com,RONGCHENG,CHINA,"RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"CATERPILLAR CHINA",,BEIJING,CHINA,6879,,,-
