"Vessel Name","Port Call Type","Port Type","Port At Call","Port At Call Country","Port At Call Unlocode",Ata/atd,"Time At Port","Destination Port","Destination Port Country","Destination Port Unlocode","Voyage Origin Port","Origin Port Country","Origin Port Unlocode","Voyage Time Underway","Voyage Distance Travelled","Last Call","Leg Time Underway","Leg Distance Travelled","Load Condition","In Transit Port Calls","Last Call Atd",Mmsi,Imo,Draught,"Last Call Draught","Port Operation","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port Draught","Vessel Type - Generic","Vessel Type - Detailed","Commercial Market","Commercial Size Class",Manager,"Manager Email","Manager City","Manager Country",Owner,"Owner Email","Owner City","Owner Country","Financial Owner","Financial Owner Email","Financial Owner City","Financial Owner Country","Technical Manager","Technical Manager Email","Technical Manager City","Technical Manager Country",Insurer,"Insurer Email","Insurer City","Insurer Country",Builder,"Builder Email","Builder City","Builder Country","Class Society","Class Society Email","Class Society City","Class Society Country","Engine Builder","Engine Builder Email","Engine Builder City","Engine Builder Country","Capacity - Dwt","Capacity - Teu","Capacity - Liquid Gas","My Fleets"
"BORIS VILKITSKY",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-03-15 18:53:00","1d 9h 34m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,212654000,9768368,12.1,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"YAMAL LNG OAO",,,RUSSIA,"DYNAGAS LTD",,,GREECE,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"DYNAGAS LTD",,,GREECE,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96958,,177000,-
"GRAND MEREYA",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-03-15 10:59:00","1d 4h 39m",PRIGORODNOYE,RU,RUPGN,,,,-,,,-,,Laden,"Not in Transit",,209856000,9338929,10.4,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"MITSUI OSKPRIMORSK SHIPPING",,,JAPAN,"MITSUI OSKPRIMORSK SHIPPING",,,JAPAN,,,,,"MOL LNG TRANSPORT CO LTD",,,JAPAN,"JAPAN SHIP OWNERS P & I ASSOCIATION",,TOKYO,JAPAN,"MITSUI ICHIHARA ENGINEERING & SHIPBUILDING",prdept@mes.co.jp,ICHIHARA,JAPAN,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,74497,,145964,-
"CHRISTOPHE DE MARGERIE",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-03-14 00:05:00","1d 19m",,,,,,,-,,,-,,Laden,"Not in Transit",,212611000,9737187,12.0,,NONE,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"YAMAL LNG OAO",,,RUSSIA,SOVCOMFLOT,,,RUSSIA,,,,,"SCF MANAGEMENT SERVICES DUBAI LTD",,,"UNITED ARAB EMIRATES","UK P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96779,,172600,-
"GRAND ELENA",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-03-13 09:44:00","1d 2h 42m",NAGOYA,JP,JPNGO,,,,-,,,-,,Laden,"Not in Transit",,209407000,9332054,11.3,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"SHELL INTERNATIONAL TRADING & SHIPPING CO",,,U.K.,SOVCOMFLOTNYK,,,RUSSIA,,,,,"NYK LNG SHIPMANAGEMENT UK LTD",hitoshi.kanto@ne.nykline.com,,U.K.,"UK P & I CLUB",,LONDON,U.K.,"MHI NAGASAKI SHIPYARD & ENGINE WORKS",,NAGASAKI,JAPAN,"LLOYDS REGISTER OF SHIPPING",Lloydsreg@lr.org,LONDON,U.K.,"MITSUBISHI HEAVY INDUSTRIES",,,JAPAN,74127,,147968,-
"EDUARD TOLL",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-03-12 21:40:00","1d 13h 38m","SABETTA ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,311000548,9750696,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"TEEKAY SHIPPING LTD",,,BERMUDA,"TC LNG EXPLORER I LLC",,HAMILTON,BERMUDA,,,,,"TEEKAY SHIPPING GLASGOW LTD",_officemadrid@teekay.com,,U.K.,"STANDARD P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96839,,177000,-
"CORAL FAVIA",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-03-11 15:25:00","20h 8m","ANTWERP ANCH",BE,,,,,-,,,-,,Laden,"Not in Transit",,244168000,9378280,7.2,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",SNGC,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,,,,,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"UK P & I CLUB",,LONDON,U.K.,"TAIZHOU WUZHOU SHIPBUILDING",wuzhoushipyard@163.com,"TAIZHOU JIANGSU",CHINA,"DET NORSKE VERITAS GERMANISCHER LLOYD",iacs@dnvgl.com,OSLO,NORWAY,"CATERPILLAR USA",,,U.S.A.,10445,,10000,-
"LNG DREAM",DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-03-11 12:11:00","1d 5h 51m",SAKAI,JP,JPSAK,,,,-,,,-,,Laden,"Not in Transit",,309065000,9277620,11.5,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"NIPPON YUSEN KAISHA N Y K",,,JAPAN,"OSAKA GASNYK",,,JAPAN,,,,,"NYK LNG SHIPMANAGEMENT LTD",,TOKYO,JAPAN,"UK P & I CLUB",,LONDON,U.K.,"KAWASAKI SAKAIDE WORKS",,SAKAIDE,JAPAN,"NIPPON KAIJI KYOKAI",svd@classnk.or.jp,TOKYO,JAPAN,"KAWASAKI SAKAIDE WORKS",,SAKAIDE,JAPAN,80889,,147326,-
"NIKOLAY ZUBOV",DEPARTURE,Port,SABETTA,RU,RUSAB,"2022-03-10 09:48:00","1d 2h 17m",,,,,,,-,,,-,,Laden,"Not in Transit",,209351000,9768526,12.0,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"DYNAGAS LTD",,,GREECE,"DYNAGAS LTD",,,GREECE,"ICBC FINANCIAL LEASING CO LTD",webmaster@icbcleasing.com,,CHINA,"DYNAGAS LTD",,,GREECE,,,,,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","RUSSIAN MARITIME REGISTER OF SHIPPING",pobox@rs-class.org,ST.PETERSBURG,RUSSIA,"ABB MARINE  PORTS",,ZURICH,SWITZERLAND,96865,,172000,-
"CORAL ENERGICE",DEPARTURE,Port,VYSOTSK,RU,RUVYS,"2022-03-10 05:18:00","23h 6m","VYSOTSK ANCH",RU,,,,,-,,,-,,Laden,"Not in Transit",,244090097,9783124,7.6,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",SNGC,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,,,,,"ANTHONY VEDER REDERIJZAKEN BV",shipman@anthonyveder.com,,NETHERLANDS,"UK P & I CLUB",,LONDON,U.K.,"MEYER NEPTUN ROSTOCK",info@neptunwerft.de,ROSTOCK,GERMANY,"BUREAU VERITAS",veristarinfo@bureauveritas.com,PARIS,FRANCE,"CATERPILLAR USA",,,U.S.A.,9125,,18000,-
K.JASMINE,DEPARTURE,Port,PRIGORODNOYE,RU,RUPGN,"2022-03-09 15:57:00","1d 10h 9m",ANJEONG,KR,KRANJ,,,,-,,,-,,Laden,"Not in Transit",,352906000,9373008,11.4,,LOAD,,,,,,Tanker,"LNG Tanker","LNG CARRIERS",LNGC,"KOREA GAS CORP",,,"SOUTH KOREA","KOREA LINE CORP",gas@korealines.co.kr,,"SOUTH KOREA",,,,,"KLC SM CO LTD",klcsm@klcsm.co.kr,,"SOUTH KOREA","UK P & I CLUB",,LONDON,U.K.,"DAEWOO SHIPBUILDING & MARINE ENGINEERING",swirifish@dsme.co.kr,GEOJE,"SOUTH KOREA","KOREAN REGISTER OF SHIPPING",krbell@krs.co.kr,BUSAN,"SOUTH KOREA",KAWASAKI,,,JAPAN,84935,,145878,-
